date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:33	3124/3124	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181007-c34%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/6.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/6.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:33	4169/4169	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181008-1049%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/7.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/7.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:33	5132/5132	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181009-140c%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/8.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/8.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:33	8752/8752	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f18100a-2230%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/9.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/9.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:34	12985/12985	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181002-32b9%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/10.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/10.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:34	3862/3862	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181003-f16%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/11.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/11.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:34	2181/2181	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181003-885%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/12.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/12.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:34	3384/3384	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181003-d38%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/13.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/13.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:35	12168/12168	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181003-2f88%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/14.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/14.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:35	3936/3936	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181004-f60%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/15.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/15.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:35	3192/3192	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181004-c78%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_4/16.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_4/16.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:35	23780/23780	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f18100e-5ce4%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/1.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/1.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:36	202611/202611	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f18100f-31773%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/2.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/2.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:36	48869/48869	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f18100f-bee5%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/3.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/3.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:36	222978/222978	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181010-36702%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/4.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/4.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:36	36719/36719	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181010-8f6f%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/5.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/5.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:36	51292/51292	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181010-c85c%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/6.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/6.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:37	10881/10881	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181011-2a81%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/7.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/7.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:37	9778/9778	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181011-2632%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/8.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/8.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:37	20714/20714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181012-50ea%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/9.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/9.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:37	29658/29658	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f18100e-73da%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_6/10.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_6/10.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:37	1417/1417	---M--	200	added ('OK')	image/svg+xml	etag:%225f181013-589%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/1.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/1.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:38	904/904	---M--	200	added ('OK')	image/svg+xml	etag:%225f181016-388%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/2.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/2.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:38	1178/1178	---M--	200	added ('OK')	image/svg+xml	etag:%225f181018-49a%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/3.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/3.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:38	2690/2690	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181019-a82%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/4.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/4.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:38	1823/1823	---M--	200	added ('OK')	image/svg+xml	etag:%225f181019-71f%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/5.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/5.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:39	1040/1040	---M--	200	added ('OK')	image/svg+xml	etag:%225f181019-410%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/6.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/6.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:39	1096/1096	---M--	200	added ('OK')	image/svg+xml	etag:%225f181019-448%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/7.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/7.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:39	1717/1717	---M--	200	added ('OK')	image/svg+xml	etag:%225f18101a-6b5%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/8.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/8.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:39	1746/1746	---M--	200	added ('OK')	image/svg+xml	etag:%225f18101a-6d2%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/9.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/9.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:39	1597/1597	---M--	200	added ('OK')	image/svg+xml	etag:%225f181013-63d%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/10.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/10.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
